
WDS:  anytown
Dia_Std:  0.01
Demand_Std:  0.1
No: of samples:  1000
Test loss:  0.00164587
Model:  tmp/2025-02-10/model_SPI_GNN_151_5_anytown.pt
MAE - (D, D_hat):  0.002044
MAE - (F, F_hat):  0.014533
MAE - (H, H_tilde):  0.003205
MAE - (D, D_tilde):  0.048698
MAE - (F, F_tilde):  0.01348
Dia_Std:  0.01
Demand_Std:  1.0
No: of samples:  1000
Test loss:  0.00808086
Model:  tmp/2025-02-10/model_SPI_GNN_151_5_anytown.pt
MAE - (D, D_hat):  0.011394
MAE - (F, F_hat):  0.028461
MAE - (H, H_tilde):  0.014482
MAE - (D, D_tilde):  0.124307
MAE - (F, F_tilde):  0.047523
Dia_Std:  0.01
Demand_Std:  0.1
No: of samples:  1000
Test loss:  0.00164144
Model:  tmp/2025-02-10/model_SPI_GNN_151_5_anytown.pt
MAE - (D, D_hat):  0.001876
MAE - (F, F_hat):  0.01414
MAE - (H, H_tilde):  0.002965
MAE - (D, D_tilde):  0.048657
MAE - (F, F_tilde):  0.014138
Dia_Std:  0.01
Demand_Std:  1.0
No: of samples:  1000
Test loss:  0.00778587
Model:  tmp/2025-02-10/model_SPI_GNN_151_5_anytown.pt
MAE - (D, D_hat):  0.01108
MAE - (F, F_hat):  0.028687
MAE - (H, H_tilde):  0.01378
MAE - (D, D_tilde):  0.122089
MAE - (F, F_tilde):  0.046079
Dia_Std:  0.01
Demand_Std:  0.1
No: of samples:  1000
Test loss:  0.00166611
Model:  tmp/2025-02-10/model_SPI_GNN_151_5_anytown.pt
MAE - (D, D_hat):  0.001703
MAE - (F, F_hat):  0.014414
MAE - (H, H_tilde):  0.003083
MAE - (D, D_tilde):  0.051862
MAE - (F, F_tilde):  0.015391
Dia_Std:  0.01
Demand_Std:  1.0
No: of samples:  1000
Test loss:  0.00794301
Model:  tmp/2025-02-10/model_SPI_GNN_151_5_anytown.pt
MAE - (D, D_hat):  0.011286
MAE - (F, F_hat):  0.028791
